review,rating,source,date,bank
🙏👍,5,Google Play,2025-11-29 00:00:00,BoA
Very Good,5,Google Play,2025-11-28 00:00:00,BoA
goof,5,Google Play,2025-11-28 00:00:00,BoA
good!,5,Google Play,2025-11-28 00:00:00,BoA
good jop,5,Google Play,2025-11-27 00:00:00,BoA
bad exprience...it is so crushed,1,Google Play,2025-11-27 00:00:00,BoA
not user friendly at all it requires a huge connectivity and also lags many times 😑😑😑,1,Google Play,2025-11-26 00:00:00,BoA
ምንም የማይ ሰራ,1,Google Play,2025-11-26 00:00:00,BoA
very good,5,Google Play,2025-11-25 00:00:00,BoA
most of the time is not working properly,1,Google Play,2025-11-25 00:00:00,BoA
good service,5,Google Play,2025-11-25 00:00:00,BoA
not use for me,3,Google Play,2025-11-23 00:00:00,BoA
It keeps notifying me to disable developer options and quiet while I'm not enabled. always bring another type of problem with new updates.,1,Google Play,2025-11-22 00:00:00,BoA
waw,5,Google Play,2025-11-21 00:00:00,BoA
the lag is unbelievable when you need it the most this suks,1,Google Play,2025-11-19 00:00:00,BoA
I cant belive I could find the worst bank app ever .yet very simple to fix the problem and the company just ignored it. no body can do business with this kind of app.,1,Google Play,2025-11-18 00:00:00,BoA
it is a good app,5,Google Play,2025-11-18 00:00:00,BoA
it is not working at all,1,Google Play,2025-11-15 00:00:00,BoA
🥰🥰🥰🥰🥰 app is good but i was live in abroad and when i enter my otp code it didnt make me to write my code it the app want it self write thats not fair so please other wise i like it why,5,Google Play,2025-11-15 00:00:00,BoA
when trying to activate the app it keeps on loading on the security questions page. It has been two days,1,Google Play,2025-11-13 00:00:00,BoA
fast and simple,5,Google Play,2025-11-11 00:00:00,BoA
best of best,5,Google Play,2025-11-10 00:00:00,BoA
Worest Banking App Ever I seen. Fake App Bad Better to Leave,1,Google Play,2025-11-10 00:00:00,BoA
good,4,Google Play,2025-11-10 00:00:00,BoA
"I would like to share feedback regarding the application. It frequently experiences disruptions and does not function properly, often freezing or failing to load. This issue is affecting workflow and efficiency. Kindly review and address this problem to ensure smoother performance.",1,Google Play,2025-11-08 00:00:00,BoA
Meet you genuine.App I tried is not functional.Helping.welldoingwith BOA Ethiopia .fastandrelevant.morconnecting Digitalyworld.Digitalyworld. thanks.,5,Google Play,2025-11-08 00:00:00,BoA
best app,5,Google Play,2025-11-08 00:00:00,BoA
Best app,5,Google Play,2025-11-07 00:00:00,BoA
"Barely works, it always fails to connect",1,Google Play,2025-11-07 00:00:00,BoA
my fav app,5,Google Play,2025-11-07 00:00:00,BoA
this app launch time is so long also has dozen bugs in addition it's has been long time get update,1,Google Play,2025-11-05 00:00:00,BoA
very nice,5,Google Play,2025-11-04 00:00:00,BoA
"Your application is very irritating to use, some functionality doesn't even work like on the card management. You need to do better than this and it good idea to reference other banking applications.",3,Google Play,2025-11-04 00:00:00,BoA
I like,5,Google Play,2025-11-02 00:00:00,BoA
