review,rating,source,date,bank
CBE ይለያል።,5,Google Play,2025-11-29 00:00:00,CBE
it's special for me,5,Google Play,2025-11-29 00:00:00,CBE
Make it user friendly.,2,Google Play,2025-11-29 00:00:00,CBE
maaliif daddafee install gaafata,3,Google Play,2025-11-28 00:00:00,CBE
good app,5,Google Play,2025-11-28 00:00:00,CBE
This application is very important and advantage for transfer of money and finance in the coutry and foriegn country.,5,Google Play,2025-11-27 00:00:00,CBE
why didn't work this app?,1,Google Play,2025-11-27 00:00:00,CBE
The app makes our life easier. Thank you CBE!,5,Google Play,2025-11-27 00:00:00,CBE
this app very bad 👎,1,Google Play,2025-11-27 00:00:00,CBE
the most advanced app. but how to stay safe?,5,Google Play,2025-11-27 00:00:00,CBE
Good application,4,Google Play,2025-11-27 00:00:00,CBE
It is nice app,5,Google Play,2025-11-26 00:00:00,CBE
best,5,Google Play,2025-11-25 00:00:00,CBE
good app,5,Google Play,2025-11-25 00:00:00,CBE
"it suddenly asked me to enter the verification key I received. and it (*get your verification key from the nearest CBE Branch*) Now I'm in Australia, what do you expect me to do???! There is no nearest or furthermost cbe Branch!! SO FRUSTRATING! How can I manage my bank account now????",1,Google Play,2025-11-25 00:00:00,CBE
nice app...,5,Google Play,2025-11-25 00:00:00,CBE
very good banking service and fast service,5,Google Play,2025-11-24 00:00:00,CBE
thanks blc this app help me to use all time,5,Google Play,2025-11-24 00:00:00,CBE
good,5,Google Play,2025-11-24 00:00:00,CBE
why we can't send money to other people telebirr wallets??,1,Google Play,2025-11-24 00:00:00,CBE
አታፍሩም ግን ለ15 birr 11.50 ብር ስትቆርጡ ይስተካከልልን,1,Google Play,2025-11-23 00:00:00,CBE
በጣም ቀላልና ምቹ ነው።,5,Google Play,2025-11-23 00:00:00,CBE
wow,5,Google Play,2025-11-23 00:00:00,CBE
good,5,Google Play,2025-11-23 00:00:00,CBE
nice,5,Google Play,2025-11-22 00:00:00,CBE
you are the reason why i got ye chogara himem,1,Google Play,2025-11-22 00:00:00,CBE
it is so smart app i recommend it for everyone,5,Google Play,2025-11-22 00:00:00,CBE
excellent,5,Google Play,2025-11-22 00:00:00,CBE
good,5,Google Play,2025-11-21 00:00:00,CBE
ዳጊ,5,Google Play,2025-11-21 00:00:00,CBE
absolutely right,5,Google Play,2025-11-21 00:00:00,CBE
good app,5,Google Play,2025-11-21 00:00:00,CBE
mid application it's so annoying,3,Google Play,2025-11-20 00:00:00,CBE
I used morethan one year,4,Google Play,2025-11-20 00:00:00,CBE
no word can explane about this app it is nice 👍👍👍👍👍,5,Google Play,2025-11-20 00:00:00,CBE
"It's great app,I love this app",5,Google Play,2025-11-20 00:00:00,CBE
Nice,5,Google Play,2025-11-19 00:00:00,CBE
suckkkks,1,Google Play,2025-11-19 00:00:00,CBE
not allowing to transfer and showing current statement updates.,1,Google Play,2025-11-19 00:00:00,CBE
I love you this app,5,Google Play,2025-11-19 00:00:00,CBE
"fast and convenient app, thanks for your dedication as a bank to provide good options to your cuatomers.",1,Google Play,2025-11-19 00:00:00,CBE
make life easy,5,Google Play,2025-11-19 00:00:00,CBE
securr,5,Google Play,2025-11-19 00:00:00,CBE
My most optional bank,5,Google Play,2025-11-17 00:00:00,CBE
5 star,5,Google Play,2025-11-17 00:00:00,CBE
it is fantastic app.,5,Google Play,2025-11-16 00:00:00,CBE
excellent,5,Google Play,2025-11-16 00:00:00,CBE
sifen,5,Google Play,2025-11-16 00:00:00,CBE
i like this√,4,Google Play,2025-11-16 00:00:00,CBE
Ok,3,Google Play,2025-11-16 00:00:00,CBE
ጥሩ App ነዉ ። የኔ የግል አስተያየት- Update ወይንም cache cleaning app ሲደረግ ለምንድነዉ ደግመን login ስናደርግ Restricted ሚያደርገዉ ቢስተካከል እንደ ሀሳብ ጥሩ ነዉ። በዛላይ ድጋሚ አክቲቬት ለማስደረግ ከፍለን ..,5,Google Play,2025-11-15 00:00:00,CBE
"Seriously, what’s going on with this app? The ""Pay to Beneficiary"" option is completely disabled for Android users, yet iOS users get full access without restrictions. Why are Android users being treated like second class customers? It’s the same app, the same service, but clearly not the same experience. This kind of platform bias is unacceptable, either give everyone the same features or be transparent about why you’re limiting functionality. Right now, it just feels unfair and frustrating.",1,Google Play,2025-11-15 00:00:00,CBE
Like,5,Google Play,2025-11-13 00:00:00,CBE
Nice and very useful app i like it!,5,Google Play,2025-11-13 00:00:00,CBE
good,5,Google Play,2025-11-13 00:00:00,CBE
Good,5,Google Play,2025-11-13 00:00:00,CBE
Good,5,Google Play,2025-11-13 00:00:00,CBE
smart app,4,Google Play,2025-11-12 00:00:00,CBE
good App,5,Google Play,2025-11-12 00:00:00,CBE
sync problem may 22 2025 but the date stack on may 8 2025 help pls,5,Google Play,2025-11-12 00:00:00,CBE
ok,5,Google Play,2025-11-11 00:00:00,CBE
cbe is my choice,4,Google Play,2025-11-11 00:00:00,CBE
Awesome,5,Google Play,2025-11-11 00:00:00,CBE
I am not able to transfer. The app is not responding,1,Google Play,2025-11-11 00:00:00,CBE
Very convenient App,5,Google Play,2025-11-11 00:00:00,CBE
excellent but sometimes can not connect,5,Google Play,2025-11-10 00:00:00,CBE
good app,5,Google Play,2025-11-10 00:00:00,CBE
wow apk,5,Google Play,2025-11-10 00:00:00,CBE
best 100 %,5,Google Play,2025-11-10 00:00:00,CBE
bad app,1,Google Play,2025-11-10 00:00:00,CBE
best app,5,Google Play,2025-11-10 00:00:00,CBE
wow,5,Google Play,2025-11-10 00:00:00,CBE
nice app,5,Google Play,2025-11-10 00:00:00,CBE
bad app,4,Google Play,2025-11-10 00:00:00,CBE
the app constantly glitches and won't stop loading despite having a decent connection and a cleared cache. telebirr is way better,1,Google Play,2025-11-10 00:00:00,CBE
I can't access it properly I think it needs update,1,Google Play,2025-11-10 00:00:00,CBE
👌👌,5,Google Play,2025-11-10 00:00:00,CBE
best 👌,5,Google Play,2025-11-10 00:00:00,CBE
good,4,Google Play,2025-11-10 00:00:00,CBE
not Refresh,2,Google Play,2025-11-10 00:00:00,CBE
your statement is not used as wanted,1,Google Play,2025-11-10 00:00:00,CBE
good very good,5,Google Play,2025-11-09 00:00:00,CBE
this is absolute trash why because it's not Woking most time the servers are down even though I'm using 4g data Internet they steal not working they use to work with out even data package now it's trash can't even send money,1,Google Play,2025-11-09 00:00:00,CBE
good app,5,Google Play,2025-11-08 00:00:00,CBE
Bayeee galatooma kana caalati nu gammachisa 🌏🤌🏻💴💸🥰👌🏻🙏🏻,5,Google Play,2025-11-08 00:00:00,CBE
Good !,5,Google Play,2025-11-08 00:00:00,CBE
i like it,5,Google Play,2025-11-08 00:00:00,CBE
Very nice app,5,Google Play,2025-11-08 00:00:00,CBE
the app is not functional this week.,4,Google Play,2025-11-08 00:00:00,CBE
good,5,Google Play,2025-11-07 00:00:00,CBE
very updated bank,5,Google Play,2025-11-06 00:00:00,CBE
tankyu,5,Google Play,2025-11-05 00:00:00,CBE
nice,5,Google Play,2025-11-05 00:00:00,CBE
Numbers 2 and 3 don't write during pin verification.,5,Google Play,2025-11-05 00:00:00,CBE
"once it is uninstalled, you need to visit a nearby bank. you go there and they ask you to have a new sim card which hasn't been used before. so you should buy a new sim card and you go back to them with a new sim card, when you reach there service provider says authentication pin is not arrive, the system is not working come back tomorrow.",1,Google Play,2025-11-05 00:00:00,CBE
loved it,5,Google Play,2025-11-05 00:00:00,CBE
Ok,1,Google Play,2025-11-05 00:00:00,CBE
this app is not working on my phone,5,Google Play,2025-11-03 00:00:00,CBE
CBE needs to show transaction fees before the transaction is confirmed and not after. This is a big issue as fees are no longer insignificant.,3,Google Play,2025-11-03 00:00:00,CBE
"After the recent updates, I am unable to download a receipt. I can't see the names of account holders I've previously transacted with. Very important. Please fix it asap.",1,Google Play,2025-11-03 00:00:00,CBE
nice,5,Google Play,2025-11-02 00:00:00,CBE
wow 😘😘😘,4,Google Play,2025-11-02 00:00:00,CBE
mobile banking broblem,5,Google Play,2025-11-01 00:00:00,CBE
good job,5,Google Play,2025-11-01 00:00:00,CBE
good,3,Google Play,2025-11-01 00:00:00,CBE
it is a good and clear apps to use,4,Google Play,2025-10-31 00:00:00,CBE
