review,rating,source,date,bank,cleaned_review,sentiment_label,sentiment_score,identified_theme
🙏👍,5,Google Play,2025-11-29,BoA,,neutral,0.0,General
Very Good,5,Google Play,2025-11-28,BoA,good,positive,0.4927,General
goof,5,Google Play,2025-11-28,BoA,goof,neutral,0.0,General
good!,5,Google Play,2025-11-28,BoA,good,positive,0.4926,General
good jop,5,Google Play,2025-11-27,BoA,good jop,positive,0.4404,General
bad exprience...it is so crushed,1,Google Play,2025-11-27,BoA,bad exprience crushed,negative,-0.7973,General
not user friendly at all it requires a huge connectivity and also lags many times 😑😑😑,1,Google Play,2025-11-26,BoA,user friendly require huge connectivity lag time,negative,-0.4268,performance
ምንም የማይ ሰራ,1,Google Play,2025-11-26,BoA,ምንም የማይ ሰራ,neutral,0.0,General
very good,5,Google Play,2025-11-25,BoA,good,positive,0.4927,General
most of the time is not working properly,1,Google Play,2025-11-25,BoA,time work properly,neutral,0.0,General
good service,5,Google Play,2025-11-25,BoA,good service,positive,0.4404,support
not use for me,3,Google Play,2025-11-23,BoA,use,neutral,0.0,General
It keeps notifying me to disable developer options and quiet while I'm not enabled. always bring another type of problem with new updates.,1,Google Play,2025-11-22,BoA,keep notify disable developer option quiet enable bring type problem new update,negative,-0.4019,General
waw,5,Google Play,2025-11-21,BoA,waw,neutral,0.0,General
the lag is unbelievable when you need it the most this suks,1,Google Play,2025-11-19,BoA,lag unbelievable need suks,negative,-0.1531,performance
I cant belive I could find the worst bank app ever .yet very simple to fix the problem and the company just ignored it. no body can do business with this kind of app.,1,Google Play,2025-11-18,BoA,not belive find bad bank app simple fix problem company ignore body business kind app,negative,-0.8834,General
it is a good app,5,Google Play,2025-11-18,BoA,good app,positive,0.4404,General
it is not working at all,1,Google Play,2025-11-15,BoA,work,neutral,0.0,General
🥰🥰🥰🥰🥰 app is good but i was live in abroad and when i enter my otp code it didnt make me to write my code it the app want it self write thats not fair so please other wise i like it why,5,Google Play,2025-11-15,BoA,app good live abroad enter otp code not write code app want self write s fair wise like,positive,0.9142,General
when trying to activate the app it keeps on loading on the security questions page. It has been two days,1,Google Play,2025-11-13,BoA,try activate app keep load security question page day,positive,0.34,General
fast and simple,5,Google Play,2025-11-11,BoA,fast simple,neutral,0.0,General
best of best,5,Google Play,2025-11-10,BoA,good good,positive,0.8555,General
Worest Banking App Ever I seen. Fake App Bad Better to Leave,1,Google Play,2025-11-10,BoA,wor banking app see fake app bad well leave,negative,-0.5994,General
good,4,Google Play,2025-11-10,BoA,good,positive,0.4404,General
"I would like to share feedback regarding the application. It frequently experiences disruptions and does not function properly, often freezing or failing to load. This issue is affecting workflow and efficiency. Kindly review and address this problem to ensure smoother performance.",1,Google Play,2025-11-08,BoA,like share feedback application frequently experience disruption function properly freeze fail load issue affect workflow efficiency kindly review address problem ensure smoother performance,positive,0.4166,General
Meet you genuine.App I tried is not functional.Helping.welldoingwith BOA Ethiopia .fastandrelevant.morconnecting Digitalyworld.Digitalyworld. thanks.,5,Google Play,2025-11-08,BoA,meet try boa ethiopia thank,positive,0.4404,General
best app,5,Google Play,2025-11-08,BoA,good app,positive,0.6369,General
Best app,5,Google Play,2025-11-07,BoA,good app,positive,0.6369,General
"Barely works, it always fails to connect",1,Google Play,2025-11-07,BoA,barely work fail connect,negative,-0.4215,General
my fav app,5,Google Play,2025-11-07,BoA,fav app,positive,0.4588,General
this app launch time is so long also has dozen bugs in addition it's has been long time get update,1,Google Play,2025-11-05,BoA,app launch time long dozen bug addition long time update,neutral,0.0,General
very nice,5,Google Play,2025-11-04,BoA,nice,positive,0.4754,General
"Your application is very irritating to use, some functionality doesn't even work like on the card management. You need to do better than this and it good idea to reference other banking applications.",3,Google Play,2025-11-04,BoA,application irritate use functionality work like card management need well good idea reference banking application,positive,0.102,General
I like,5,Google Play,2025-11-02,BoA,like,positive,0.3612,General
ወይ አሻሽሉትና እንጠቀምበት ያለያ ብታጠፉት ይሻላል። በቃ ምንም ነገር አይሰራም መተግበሪያ አለን ብላችሁ እንዳታወሩ ለማንም የማይመከር ቀርፋፋና ተግባር የለሽ መተግበሪያ,1,Google Play,2025-11-01,BoA,ወይ አሻሽሉትና እንጠቀምበት ያለያ ብታጠፉት በቃ ምንም ነገር አይሰራም መተግበሪያ አለን ብላችሁ እንዳታወሩ ለማንም የማይመከር ቀርፋፋና ተግባር የለሽ መተግበሪያ,neutral,0.0,General
