review,rating,source,date,bank
very smart App easy to use and friendly,5,Google Play,2025-11-29 00:00:00,Dashen
Very exemplery App to other Bank Aps !,5,Google Play,2025-11-29 00:00:00,Dashen
good,5,Google Play,2025-11-29 00:00:00,Dashen
It Is An Amazing app,4,Google Play,2025-11-28 00:00:00,Dashen
"its fast and easy to communicate to the app and its available all area keep it up.i will make Happy for this application thank you dashen bank for your effort,commitment and dedication. i appricated your work.",5,Google Play,2025-11-26 00:00:00,Dashen
What do you care about my phone's settings? Who are you to tell me what to turn off and on? It is my phone after all. This *develoler option* thing will cost you a lot of users who are willing to leave the bank once and for all. Turn this thing off. 6 you fear this is a security issue fix your side not mine.,1,Google Play,2025-11-25 00:00:00,Dashen
Exceptional Product.,5,Google Play,2025-11-23 00:00:00,Dashen
very easy app,3,Google Play,2025-11-23 00:00:00,Dashen
"The Dashen Super App is very impressive. It is fast, easy to use, and provides smooth access to all essential banking services. Money transfer, bill payment, balance check, and other features work efficiently without issues. The design is clean and user-friendly. Great step forward in digital banking — keep up the good work, Dashen Bank!..",5,Google Play,2025-11-19 00:00:00,Dashen
በጣም ፈጣን ሥቹ አስተማማኝ ወድጃዋለው,5,Google Play,2025-11-18 00:00:00,Dashen
bill payment options are limited in this app please add ethio telecom bill electric bill etc.. instead of adding nonsense in banking app,1,Google Play,2025-11-18 00:00:00,Dashen
"it's a really slow app, I'm not sure what the issue is. Even other bank transfers are not working",2,Google Play,2025-11-18 00:00:00,Dashen
always updating bad stability,1,Google Play,2025-11-17 00:00:00,Dashen
"it say's disable developer option, i disabled it but its not working still",1,Google Play,2025-11-17 00:00:00,Dashen
with the super app evry thing i need is just a tap away,5,Google Play,2025-11-17 00:00:00,Dashen
nice,5,Google Play,2025-11-16 00:00:00,Dashen
eyita tips,1,Google Play,2025-11-15 00:00:00,Dashen
clear and presize,5,Google Play,2025-11-15 00:00:00,Dashen
smooth and easy!!!,5,Google Play,2025-11-14 00:00:00,Dashen
I have had an amazing experience with this app;ot os convenient and easy to use,5,Google Play,2025-11-14 00:00:00,Dashen
"All in One Super App with smooth navigation, transaction and lifestyle services",5,Google Play,2025-11-14 00:00:00,Dashen
Very nice App.,5,Google Play,2025-11-14 00:00:00,Dashen
system failure transfer to others account,2,Google Play,2025-11-13 00:00:00,Dashen
thank you,1,Google Play,2025-11-13 00:00:00,Dashen
"Only the UI/UX is good, but it doesn't function properly. It's a shame that a leading tech bank has such an app. Amole is far better.",1,Google Play,2025-11-13 00:00:00,Dashen
"excellent app. to use perfectlly to pay,transfer,tele airtime and so on.",5,Google Play,2025-11-12 00:00:00,Dashen
wow dashen bank super app,5,Google Play,2025-11-12 00:00:00,Dashen
"This so-called “Super App” is a complete disappointment. It’s confusing, slow, and full of glitches honestly, it feels like it was designed to test people’s patience, not to help them bank. Calling it “super” is a joke; it’s one of the most useless apps I’ve ever used.",1,Google Play,2025-11-11 00:00:00,Dashen
Best Mobile Banking App in Ethiopia .,5,Google Play,2025-11-11 00:00:00,Dashen
very nice app I have ever seen,5,Google Play,2025-11-10 00:00:00,Dashen
NASTY BANK . EVEN THE SUPPER APP IS NOT WORKING WELL. WHEN I AM CALLING THEM THEY ARE NOT RESPONSE . PLEASE DON'T USE THIS APP BECAUSE YOU WILL LOSS YOU TIME ;ENERGY AND EVERYTHING . HOPELESS Bank .,1,Google Play,2025-11-10 00:00:00,Dashen
it's good but is not fast,5,Google Play,2025-11-09 00:00:00,Dashen
your financial system must improved,4,Google Play,2025-11-09 00:00:00,Dashen
your service is too good,5,Google Play,2025-11-09 00:00:00,Dashen
good experience,5,Google Play,2025-11-09 00:00:00,Dashen
ok,5,Google Play,2025-11-08 00:00:00,Dashen
